ProductName,Rating,Price,OriginalPrice,Discount,Reviews,Features,PageNumber
Samsung 2025 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,4.2,"₹36,490","₹72,990",50% off,"26,515 Ratings & 2,683 Reviews",Annual Power Usage: 751.24 WRoom Size: 111 - 150 sqft5 Years Comprehensive Warranty on AC and 10 Years Warranty on Compressor,1
Voltas 2026 Model 1.5 Ton 3 Star Split Inverter AC,4.2,"₹33,990","₹60,990",44% off,"83,437 Ratings & 7,067 Reviews","Annual Power Usage: 900.94 kWhRoom Size: 111 - 150 sqft1 Year Warranty On Product,10 Years Warranty On Compressor",1
MarQ by Flipkart 2026 Model 1 Ton 3 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technology ...,4.2,"₹21,990","₹47,999",54% off,"43,706 Ratings & 5,407 Reviews",Annual Power Usage: 594.03 kWhRoom Size: 90 sqft or Below1 year comprehensive warranty on product and 10 years warranty on compressor,1
MarQ by Flipkart 2026 Model 1.5 Ton 3 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technolog...,4.2,"₹26,490","₹49,999",47% off,"49,936 Ratings & 6,373 Reviews",Annual Power Usage: 858.22 kWhRoom Size: 111 - 150 sqft1 year comprehensive warranty on product and 10 years warranty on compressor,1
Voltas 2025 Model 1.5 Ton 5 Star Split Inverter 4-IN-1 Adjustable Mode | Energy Efficient | High Ambie...,4.2,"₹38,990","₹69,990",44% off,"41,002 Ratings & 3,819 Reviews","Annual Power Usage: 751.28 UnitsRoom Size: 111 - 150 sqft5 years warranty from the date of installation, (Inverter or Fixed Speed SACs) of Tonnage up to 2.2 Tr (Offer valid till 31st May 2026). It is applicable only for residential usage and does not apply to commercial or National Accounts customers, 5 Years warranty on PCB, 10 Years on Inverter Compressor",1
Daikin 2026 Model 1.5 Ton 3 Star Split Inverter AC,4.2,"₹37,490","₹56,100",33% off,"24,785 Ratings & 1,912 Reviews",Annual Power Usage: 880.1 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and  5 Years Warranty on PCB and 10 Years Warranty on Compressor,1
MarQ by Flipkart 2025 Model 1.5 Ton 5 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technolog...,4.2,"₹28,990","₹56,199",48% off,"29,718 Ratings & 3,672 Reviews",Annual Power Usage: 781.88 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,1
"LG 2025 Model 1.5 Ton 5 Star Split Dual Inverter with Faster Cooling and Energy Saving, AI Convertible...",4.2,"₹42,990","₹78,990",45% off,"46,175 Ratings & 4,255 Reviews",Annual Power Usage: 744.75 kWhRoom Size: 111 - 150 sqft1 Year Manufacturing Warranty on Product,1
Daikin 2026 Model 1.5 Ton 4 Star Split Inverter AC,4.1,"₹40,990","₹60,000",31% off,953 Ratings & 106 Reviews,"Annual Power Usage: 751.22 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product,  5 Years warranty on PCB and 10 Years Warranty on Compressor",1
MarQ by Flipkart 2026 Model 1.5 Ton 5 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technolog...,4.2,"₹31,490","₹58,999",46% off,"29,718 Ratings & 3,672 Reviews",Annual Power Usage: 656.35 kWhRoom Size: 111 - 150 sqft1 year comprehensive warranty on product and 10 years warranty on compressor,1
Godrej 2025 Model 1 Ton 3 Star Split Inverter 5-In-1-Convertible Cooling with Heavy Duty Cooling At Ex...,4,"₹26,490","₹38,600",31% off,"8,298 Ratings & 716 Reviews","Annual Power Usage: 1034 UnitsRoom Size: 90 sqft or Below5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 7 days of purchase) and 10 Years Warranty on Compressor",1
"CARRIER 2026 Model 1.5 Ton 3 Star Split AI Inverter Convertible 6-in-1 with Smart Energy Display, Inst...",4.2,"₹32,490","₹65,500",50% off,"38,222 Ratings & 4,626 Reviews","Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor",1
Godrej 2025 Model 1.5 Ton 3 Star Split Inverter 5-In-1 Convertible Cooling with Heavy Duty Cooling and...,4,"₹31,667","₹45,900",31% off,"22,727 Ratings & 1,770 Reviews","Annual Power Usage: 983.99 kWhRoom Size: 111 - 150 sqft10 years warranty on compressor, 5 year warranty on whole product (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase)",1
Whirlpool 2026 Model 1.5 Ton 3 Star Split Inverter AC,4.1,"₹32,240","₹57,150",43% off,"30,027 Ratings & 3,540 Reviews","Annual Power Usage: 858.22 kWhRoom Size: 111 - 150 sqft1 year warranty on product, 5 years  warranty on compressor",1
MarQ by Flipkart 2025 Model 1 Ton 3 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technology ...,4.2,"₹21,990","₹45,099",51% off,"43,706 Ratings & 5,407 Reviews",Annual Power Usage: 684.9 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,1
"TCL 2026 Model 1 Ton 3 Star Split Inverter 7 Step Convertible with Powerful and Fast cooling, 4 Ways S...",3.8,"₹24,990","₹48,991",48% off,827 Ratings & 110 Reviews,"Annual Power Usage: 596.47 kWhRoom Size: 90 sqft or Below1 year warranty on product,5 Years on PCB and 10 Years on the Compressor",1
"Samsung Bespoke AI 2026 Model 1.5 ton 4 Star Split Inverter with Wi-fi Energy Saving, Voice Control, P...",4.1,"₹38,990","₹82,990",53% off,"6,233 Ratings & 578 Reviews",Annual Power Usage: 713.57 kWhRoom Size: 111 - 150 sqft5 year comprehensive warranty on product and 10 years warranty on compressor,1
CARRIER 2026 Model 1.5 Ton 3 Star Split AI Inverter with Wi-fi Convertible 6-in-1 with Geo-Fencing & V...,4.2,"₹33,490","₹65,900",49% off,"38,222 Ratings & 4,626 Reviews","Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor",1
"Samsung Bespoke AI 2026 Model 1.5 ton 4 Star Split Inverter with Wi-fi Energy Saving, Voice Control, P...",4.1,"₹38,990","₹82,990",53% off,"6,233 Ratings & 578 Reviews",Annual Power Usage: 713.57 kWhRoom Size: 111 - 150 sqft5 year comprehensive warranty on product and 10 years warranty on compressor,1
MarQ by Flipkart 2026 Model 1 Ton 5 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technology ...,4.2,"₹27,990","₹51,999",46% off,"3,041 Ratings & 379 Reviews",Annual Power Usage: 472.64 kWhRoom Size: 90 sqft or Below1 Year on Product and 10 Years Warranty on Compressor,1
LG 2025 Model 1.5 Ton 5 Star Split AI Dual Inverter AI Convertible 6-in-1 Split with Faster Cooling an...,4.2,"₹42,990","₹78,990",45% off,"46,175 Ratings & 4,255 Reviews","Annual Power Usage: 744.75 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product,5 year on Pcb and 10 Years Warranty on Compressor",1
Midea 2026 Model 1.5 Ton 3 Star Split AI Inverter with Wi-fi Convertible 6-in-1 with Turbo Mode for Fa...,4.3,"₹29,990","₹59,700",49% off,"18,604 Ratings & 2,838 Reviews","Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft5 Year Comprehensive Warranty On Product,10 Year Warranty On Compressor",1
Voltas 2026 Model 1.5 Ton 3 Star Split Inverter AC,4.2,"₹33,990","₹60,990",44% off,"83,437 Ratings & 7,067 Reviews","Annual Power Usage: 900.94 kWhRoom Size: 111 - 150 sqft1 Year Warranty On Product,10 Years Warranty On Compressor",1
Whirlpool 2025 Model 1.5 Ton 5 Star Split Inverter AC,4.2,"₹34,040","₹65,083",47% off,"21,787 Ratings & 2,439 Reviews","Annual Power Usage: 728.95 kWhRoom Size: 111 - 150 sqft1 Year Warranty On Product, 5 Year Warranty On Compressor",1
